2018-05-29T16:40:30,174 INFO  [main|RefinedEmailParser] messages.length in main: 5
2018-05-29T16:40:30,450 INFO  [main|RefinedEmailParser] email object: FFEmail{originalAddress='Yahoo Sports <sports-fantasy-replies@sports.yahoo.com>', forwardedAddress='null', forwardedDate=0, valid=false, content='null', contentType='MOCK'}
2018-05-29T16:40:30,462 INFO  [main|RefinedEmailParser] placeHolder str: GREETING, I just did a draft and I can't believe it. I got PLAYER1 in round ROUND1 AND PLAYER2 in round ROUND2. My teams gonna be so epic. rofl
2018-05-29T16:40:30,463 ERROR [main|RefinedEmailParser] org.json.JSONException: JSONObject["0"] not found.
2018-05-29T16:42:04,576 INFO  [main|RefinedEmailParser] messages.length in main: 5
2018-05-29T16:42:04,862 INFO  [main|RefinedEmailParser] email object: FFEmail{originalAddress='Yahoo Sports <sports-fantasy-replies@sports.yahoo.com>', forwardedAddress='null', forwardedDate=0, valid=false, content='null', contentType='MOCK'}
2018-05-29T16:42:04,878 INFO  [main|RefinedEmailParser] placeHolder str: GREETING, I just did a draft and I can't believe it. I got PLAYER1 in round ROUND1 AND PLAYER2 in round ROUND2. My teams gonna be so epic. rofl
2018-05-29T16:42:04,879 INFO  [main|RefinedEmailParser] formatted message: Yo man, I just did a draft and I can't believe it. I got Aaron Jones in round 11 AND Wil Lutz in round 9. My teams gonna be so epic. rofl
2018-05-29T16:42:05,628 INFO  [main|RefinedEmailParser] email object: FFEmail{originalAddress='Yahoo Sports <sports-fantasy-replies@sports.yahoo.com>', forwardedAddress='null', forwardedDate=0, valid=false, content='Yo man, I just did a draft and I can't believe it. I got Aaron Jones in round 11 AND Wil Lutz in round 9. My teams gonna be so epic. rofl', contentType='MOCK'}
2018-05-29T16:42:05,634 ERROR [main|RefinedEmailParser] java.lang.StringIndexOutOfBoundsException: String index out of range: -3912
2018-05-29T16:43:31,589 INFO  [main|RefinedEmailParser] messages.length in main: 5
2018-05-29T16:43:31,828 INFO  [main|RefinedEmailParser] email object: FFEmail{originalAddress='Yahoo Sports <sports-fantasy-replies@sports.yahoo.com>', forwardedAddress='null', forwardedDate=0, valid=false, content='null', contentType='MOCK'}
2018-05-29T16:43:31,842 INFO  [main|RefinedEmailParser] placeHolder str: GREETING, I just did a draft and I can't believe it. I got PLAYER1 in round ROUND1 AND PLAYER2 in round ROUND2. My teams gonna be so epic. rofl
2018-05-29T16:43:31,842 INFO  [main|RefinedEmailParser] formatted message:  dude, I just did a draft and I can't believe it. I got Kareem Hunt in round 1 AND Denver in round 8. My teams gonna be so epic. rofl
2018-05-29T16:43:32,321 INFO  [main|RefinedEmailParser] email object: FFEmail{originalAddress='Yahoo Sports <sports-fantasy-replies@sports.yahoo.com>', forwardedAddress='null', forwardedDate=0, valid=false, content=' dude, I just did a draft and I can't believe it. I got Kareem Hunt in round 1 AND Denver in round 8. My teams gonna be so epic. rofl', contentType='MOCK'}
2018-05-29T16:43:32,322 ERROR [main|RefinedEmailParser] java.lang.StringIndexOutOfBoundsException: String index out of range: -3912
